emotion,quote
0,"Everyone can have their heart broken. Even if you know the relationship isn't working, it's still sad. Even in a bad relationship, they're part of your life for a long time, and saying goodbye to that can be difficult."
0,Your pain is the breaking of the shell that encloses your understanding.
0,Don't grieve. Anything you lose comes round in another form.
0,The walls we build around us to keep sadness out also keeps out the joy.
0,Red is the ultimate cure for sadness.
0,In deep sadness there is no place for sentimentality.
0,"Nobody understands another's sorrow, and nobody another's joy."
0,"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come."
0,"For every minute you remain angry, you give up sixty seconds of peace of mind."
0,A man who has never made a woman angry is a failure in life.
0,"I don't usually lose my temper, but if I get angry, it's true - I'm scary."
0,Speak when you are angry - and you'll make the best speech you'll ever regret.
0,People won't have time for you if you are always angry or complaining.
0,Anger is the enemy of non-violence and pride is a monster that swallows it up.
0,"I realized that if my thoughts immediately affect my body, I should be careful about what I think. Now if I get angry, I ask myself why I feel that way. If I can find the source of my anger, I can turn that negative energy into something positive."
0,"You will not be punished for your anger, you will be punished by your anger."
0,Discussion is an exchange of knowledge; an argument an exchange of ignorance.
0,To be angry is to revenge the faults of others on ourselves.
0,Silence is one of the hardest arguments to refute.
0,"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy."
0,Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.
0,Anger and intolerance are the enemies of correct understanding.
0,I shall allow no man to belittle my soul by making me hate him.
0,"Too much self-centered attitude, you see, brings, you see, isolation. Result: loneliness, fear, anger. The extreme self-centered attitude is the source of suffering."
0,"While seeking revenge, dig two graves - one for yourself."
0,Reacting in anger or annoyance will not advance one's ability to persuade.
0,"When angry count to ten before you speak. If very angry, count to one hundred."
0,"The five stages - denial, anger, bargaining, depression, and acceptance - are a part of the framework that makes up our learning to live with the one we lost. They are tools to help us frame and identify what we may be feeling. But they are not stops on some linear timeline in grief."
0,"You must never be satisfied with losing. You must get angry, terribly angry, about losing. But the mark of the good loser is that he takes his anger out on himself and not his victorious opponents or on his teammates."
0,How much more grievous are the consequences of anger than the causes of it.
1,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.
1,Adopt the pace of nature: her secret is patience.
1,Quick decisions are unsafe decisions.
1,"The young man knows the rules, but the old man knows the exceptions."
1,In every walk with nature one receives far more than he seeks.
1,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone."
1,Discipline is the bridge between goals and accomplishment.
1,Honesty is the first chapter in the book of wisdom.
1,"Do not go where the path may lead, go instead where there is no path and leave a trail."
1,The journey of a thousand miles begins with one step.
1,"Because you are women, people will force their thinking on you, their boundaries on you. They will tell you how to dress, how to behave, who you can meet and where you can go. Don't live in the shadows of people's judgement. Make your own choices in the light of your own wisdom."
1,Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.
1,The only true wisdom is in knowing you know nothing.
1,"A tree is known by its fruit; a man by his deeds. A good deed is never lost; he who sows courtesy reaps friendship, and he who plants kindness gathers love."
1,"Applause is a receipt, not a bill."
1,"We are made wise not by the recollection of our past, but by the responsibility for our future."
1,"It is time to remember that old wisdom our soldiers will never forget: that whether we are black or brown or white, we all bleed the same red blood of patriots, we all enjoy the same glorious freedoms, and we all salute the same great American Flag."
1,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.
1,Knowledge is of no value unless you put it into practice.
1,Science is organized knowledge. Wisdom is organized life.
1,Our character is what we do when we think no one is looking.
1,"It's not what you look at that matters, it's what you see."
1,"Wisdom, compassion, and courage are the three universally recognized moral qualities of men."
1,It's the little details that are vital. Little things make big things happen.
1,"Just as treasures are uncovered from the earth, so virtue appears from good deeds, and wisdom appears from a pure and peaceful mind. To walk safely through the maze of human life, one needs the light of wisdom and the guidance of virtue."
1,Only I can change my life. No one can do it for me.
1,"Good, better, best. Never let it rest. 'Til your good is better and your better is best."
1,Life is 10% what happens to you and 90% how you react to it.
1,With the new day comes new strength and new thoughts.
1,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.
1,Failure will never overtake me if my determination to succeed is strong enough.
1,"Change your life today. Don't gamble on the future, act now, without delay."
1,It always seems impossible until it's done.
1,The past cannot be changed. The future is yet in your power.
1,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth."
1,"Set your goals high, and don't stop till you get there."
1,It does not matter how slowly you go as long as you do not stop.
1,You can't cross the sea merely by standing and staring at the water.
1,We should not give up and we should not allow the problem to defeat us.
1,"Always do your best. What you plant now, you will harvest later."
1,Your talent is God's gift to you. What you do with it is your gift back to God.
1,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.
1,"If you can dream it, you can do it."
1,"Problems are not stop signs, they are guidelines."
1,"A creative man is motivated by the desire to achieve, not by the desire to beat others."
1,"If you fell down yesterday, stand up today."
1,Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.
1,"Without hard work, nothing grows but weeds."
1,Accept the challenges so that you can feel the exhilaration of victory.
1,"Keep your eyes on the stars, and your feet on the ground."
1,The greatest healing therapy is friendship and love.
0,"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on."
0,"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself."
0,Every new beginning comes from some other beginning's end.
0,"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space."
0,"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good."
0,"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer."
0,In three words I can sum up everything I've learned about life: it goes on.
0,Blessed are the hearts that can bend; they shall never be broken.
0,Grief is in two parts. The first is loss. The second is the remaking of life.
0,"Moving on, is a simple thing, what it leaves behind is hard."
0,Healing yourself is connected with healing others.
0,Forget the past - the future will give you plenty to worry about.
0,"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things."
0,"Love one another and help others to rise to the higher levels, simply by pouring out love. Love is infectious and the greatest healing energy."
0,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future."
0,Forget the past.
0,"If you carry joy in your heart, you can heal any moment."
0,Recovery begins from the darkest moment.
0,The words of kindness are more healing to a drooping heart than balm or honey.
0,"The heart will break, but broken live on."
0,"You may have a fresh start any moment you choose, for this thing that we call 'failure' is not the falling down, but the staying down."
